	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	ÖVP	GRÜNE	FPÖ	BZÖ	RETTÖ	LIF	KPÖ	DC	LINKE	FRITZ
285	41299	Wahlkarten Ried im Innkreis              	0	2528	53	2475	436	894	360	455	188	33	54	9	22	0	24
286	41300	Bezirk Rohrbach                      	45922	38393	1447	36946	7852	15258	3003	5884	3322	303	314	202	438	14	356
287	41301	Afiesl                        	337	270	8	262	59	101	20	42	24	5	2	3	2	0	4
288	41302	Ahorn                         	402	346	9	337	67	146	21	74	22	0	1	2	2	0	2
289	41303	Aigen im Mühlkreis            	1549	1144	40	1104	264	407	98	186	115	7	12	5	4	0	6
290	41304	Altenfelden                   	1748	1368	65	1303	307	419	95	271	145	19	12	8	16	0	11
291	41305	Arnreit                       	882	747	35	712	99	373	52	85	85	1	1	2	4	0	10
292	41306	Atzesberg                     	380	324	16	308	28	173	22	46	31	0	1	2	5	0	0
293	41307	Auberg                        	422	330	10	320	38	160	28	48	29	4	0	2	7	0	4
294	41308	Berg bei Rohrbach             	2124	1613	68	1545	305	597	155	240	163	12	15	5	28	0	25
295	41309	Haslach an der Mühl           	2123	1605	59	1546	535	447	156	222	122	17	14	3	15	0	15
296	41310	Helfenberg                    	808	681	33	648	145	263	44	101	57	9	10	5	1	0	13
297	41311	Hörbich                       	318	266	9	257	21	152	7	43	20	1	1	1	5	0	6
298	41312	Hofkirchen im Mühlkreis       	1188	898	36	862	193	367	90	122	51	11	4	5	11	0	8
299	41313	Julbach                       	1321	1043	39	1004	343	323	42	156	97	7	6	9	11	0	10
300	41314	Kirchberg ob der Donau        	859	709	16	693	181	266	46	109	62	6	6	7	3	1	6
301	41315	Klaffer am Hochficht          	1037	820	25	795	250	257	30	165	71	2	1	4	4	0	11
302	41316	Kleinzell im Mühlkreis        	1144	875	35	840	231	278	74	117	101	14	6	4	3	1	11
303	41317	Kollerschlag                  	1196	943	51	892	158	377	28	203	72	5	3	1	39	1	5
304	41318	Lembach im Mühlkreis          	1279	1001	45	956	210	381	75	157	71	11	24	8	13	1	5
305	41319	Lichtenau im Mühlkreis        	451	359	26	333	56	161	17	56	31	1	1	1	6	1	2
306	41320	Nebelberg                     	513	441	13	428	92	209	19	57	33	3	6	2	2	0	5
307	41321	Neufelden                     	974	747	34	713	169	273	99	90	39	11	17	3	10	0	2
308	41322	Niederkappel                  	845	672	46	626	113	311	25	97	54	6	3	4	9	0	4
309	41323	Niederwaldkirchen             	1394	1138	39	1099	205	514	80	149	117	5	6	6	7	0	10
310	41324	Oberkappel                    	542	403	19	384	55	200	17	55	32	10	2	1	6	1	5
311	41325	Oepping                       	1299	992	33	959	175	400	80	168	94	14	7	3	7	1	10
312	41326	Peilstein im Mühlviertel      	1310	1028	53	975	209	442	33	170	79	1	5	5	24	0	7
313	41327	Pfarrkirchen im Mühlkreis     	1171	909	35	874	124	432	54	155	63	4	13	9	11	0	9
314	41328	Putzleinsdorf                 	1238	951	24	927	118	425	64	147	111	2	12	6	35	0	7
315	41329	Neustift im Mühlkreis         	1154	896	23	873	149	432	70	126	67	1	4	3	7	0	14
316	41330	Rohrbach in Oberösterreich    	1959	1496	65	1431	299	519	189	218	130	12	14	13	21	0	16
317	41331	St.Johann am Wimberg          	793	659	21	638	114	261	35	110	86	8	5	3	2	0	14
318	41332	St.Martin im Mühlkreis        	2882	2302	76	2226	527	795	220	389	189	24	21	9	27	0	25
319	41333	St.Oswald bei Haslach         	443	321	21	300	71	145	12	32	32	2	1	0	3	1	1
320	41334	St.Peter am Wimberg           	1407	1111	38	1073	183	525	81	154	90	13	11	2	8	0	6
321	41335	St.Stefan am Walde            	665	556	25	531	103	228	49	57	68	1	6	3	12	0	4
322	41336	St.Ulrich im Mühlkreis        	485	393	11	382	60	180	47	48	29	7	1	5	2	1	2
323	41337	St.Veit im Mühlkreis          	955	764	23	741	150	322	58	125	52	5	11	4	2	0	12
324	41338	Sarleinsbach                  	1810	1448	53	1395	195	722	100	231	97	8	5	6	25	0	6
325	41339	Schlägl                       	1104	839	20	819	227	314	55	115	89	2	2	4	6	0	5
326	41340	Schönegg                      	436	364	14	350	94	141	16	58	37	1	0	0	0	0	3
327	41341	Schwarzenberg am Böhmerwald   	513	390	16	374	81	162	5	77	44	0	1	2	1	0	1
328	41342	Ulrichsberg                   	2462	1891	60	1831	424	686	141	335	182	9	7	23	10	2	12
329	41399	Wahlkarten Rohrbach                      	0	2340	60	2280	425	972	354	278	139	22	34	9	22	3	22
330	41400	Bezirk Schärding                     	44487	36003	1033	34970	7829	12488	2193	8115	2895	462	223	158	243	9	355
331	41401	Altschwendt                   	512	427	11	416	92	165	29	78	40	3	3	1	4	0	1
332	41402	Andorf                        	3921	2983	72	2911	874	881	140	696	222	33	19	11	9	1	25
333	41403	Brunnenthal                   	1536	1131	39	1092	237	352	101	256	84	13	13	8	8	0	20
334	41404	Diersbach                     	1288	997	23	974	205	365	67	199	95	22	3	4	6	0	8
335	41405	Dorf an der Pram              	824	650	22	628	124	307	28	105	44	5	1	1	6	0	7
336	41406	Eggerding                     	1014	809	37	772	129	303	33	206	77	5	3	1	5	0	10
337	41407	Engelhartszell                	857	638	19	619	120	245	40	130	56	9	5	6	5	0	3
338	41408	Enzenkirchen                  	1438	1110	40	1070	322	304	40	276	105	7	2	2	4	0	8
339	41409	Esternberg                    	2229	1714	40	1674	229	676	72	442	146	53	7	10	13	0	26
340	41410	Freinberg                     	1059	757	23	734	191	338	30	125	33	4	4	5	2	0	2
341	41411	Kopfing im Innkreis           	1636	1192	53	1139	209	398	61	282	112	20	11	3	31	1	11
342	41412	Mayrhof                       	214	179	13	166	16	102	6	35	3	2	1	0	0	0	1
343	41413	Münzkirchen                   	2064	1537	56	1481	256	607	114	347	114	14	7	8	7	0	7
344	41414	Raab                          	1835	1416	74	1342	229	406	105	406	139	23	13	3	3	0	15
345	41415	Rainbach im Innkreis          	1192	930	15	915	179	357	53	198	85	12	2	2	8	0	19
346	41416	Riedau                        	1544	1171	36	1135	380	276	64	286	96	6	5	9	8	0	5
347	41417	St.Aegidi                     	1301	1028	49	979	121	446	51	251	79	10	2	4	7	1	7
348	41418	St.Florian am Inn             	2414	1792	29	1763	518	462	105	465	126	26	12	11	14	0	24
349	41419	St.Marienkirchen bei Schärding	1465	1098	35	1063	185	369	56	319	89	18	8	12	0	0	7
350	41420	St.Roman                      	1402	1105	30	1075	111	538	19	266	107	7	3	6	6	1	11
351	41421	St.Willibald                  	922	724	34	690	153	246	21	164	89	6	2	3	1	0	5
352	41422	Schärding                     	3884	2614	48	2566	810	625	222	647	155	24	29	12	10	1	31
353	41423	Schardenberg                  	1741	1303	26	1277	191	570	64	247	129	17	5	5	32	1	16
354	41424	Sigharting                    	635	538	9	529	79	245	17	97	70	3	4	1	7	0	6
355	41425	Suben                         	961	713	16	697	204	233	38	136	56	10	13	1	1	0	5
356	41426	Taufkirchen an der Pram       	2282	1742	61	1681	506	517	103	360	142	20	8	11	3	0	11
357	41427	Vichtenstein                  	489	358	9	349	50	161	17	86	21	2	1	6	0	0	5
358	41428	Waldkirchen am Wesen          	1054	879	32	847	175	335	37	198	71	10	0	1	3	2	15
359	41429	Wernstein am Inn              	1215	939	17	922	243	354	44	182	62	15	2	1	10	0	9
360	41430	Zell an der Pram              	1559	1213	33	1180	215	490	113	231	85	29	5	1	5	0	6
361	41499	Wahlkarten Schärding                     	0	2316	32	2284	476	815	303	399	163	34	30	9	25	1	29
362	41500	Bezirk Steyr-Land                    	47154	40323	1065	39258	11978	11591	3406	6224	4258	316	391	203	324	8	559
363	41501	Adlwang                       	1293	994	24	970	169	380	75	196	104	12	9	0	9	0	16
364	41502	Aschach an der Steyr          	1766	1377	32	1345	334	451	143	207	143	4	17	13	9	0	24
365	41503	Bad Hall                      	3802	2820	92	2728	802	697	250	509	368	24	25	13	27	0	13
366	41504	Dietach                       	2147	1742	35	1707	526	470	194	260	161	19	30	5	16	0	26
367	41505	Gaflenz                       	1467	1181	35	1146	303	405	93	157	130	5	5	2	12	0	34
368	41506	Garsten                       	5259	4171	118	4053	1183	1123	470	660	409	38	56	26	29	1	58
369	41507	Großraming                    	2261	1925	55	1870	612	585	146	259	182	23	18	10	7	1	27
370	41508	Laussa                        	1048	830	29	801	201	241	60	139	131	4	2	3	8	0	12
371	41509	Losenstein                    	1375	1102	24	1078	380	297	85	163	113	16	3	3	4	0	14
372	41510	Maria Neustift                	1339	1143	34	1109	175	518	45	184	144	5	3	4	13	0	18
373	41511	Pfarrkirchen bei Bad Hall     	1694	1332	46	1286	396	353	95	243	156	10	10	9	5	0	9
374	41512	Reichraming                   	1503	1274	25	1249	666	189	64	180	116	6	10	5	3	0	10
375	41513	Rohr im Kremstal              	962	762	7	755	224	261	51	107	96	3	3	4	3	0	3
376	41514	St.Ulrich bei Steyr           	2498	1965	58	1907	468	637	198	269	218	13	40	7	21	0	36
377	41515	Schiedlberg                   	994	801	15	786	124	475	23	86	49	7	2	7	4	0	9
378	41516	Sierning                      	7227	5838	139	5699	2173	1350	388	1010	556	47	39	38	41	3	54
379	41517	Ternberg                      	2719	2161	74	2087	592	528	170	329	336	17	22	9	18	2	64
380	41518	Waldneukirchen                	1723	1415	41	1374	315	540	71	218	150	8	9	6	33	0	24
381	41521	Wolfern                       	2425	1967	46	1921	570	636	158	299	179	16	20	10	16	0	17
382	41522	Weyer  	3652	2810	81	2729	1113	615	226	412	258	16	17	15	21	1	35
383	41599	Wahlkarten Steyr-Land                    	0	2713	55	2658	652	840	401	337	259	23	51	14	25	0	56
384	41600	Bezirk Urfahr-Umgebung               	64770	55303	1758	53545	13917	16800	6989	8209	4716	513	899	339	545	21	597
385	41601	Alberndorf in der Riedmark    	3002	2419	85	2334	555	769	215	472	206	24	16	16	35	1	25
386	41602	Altenberg bei Linz            	3451	2808	77	2731	548	1111	343	346	255	18	34	11	34	0	31
387	41603	Bad Leonfelden                	3159	2520	121	2399	417	870	245	394	272	44	37	19	64	0	37
388	41604	Eidenberg                     	1547	1251	44	1207	200	571	104	151	117	20	18	5	5	0	16
389	41605	Engerwitzdorf                 	6590	5107	163	4944	1466	1127	624	921	534	52	62	35	69	2	52
390	41606	Feldkirchen an der Donau      	4221	3445	99	3346	1038	921	320	544	366	27	57	21	18	3	31
391	41607	Gallneukirchen                	4940	3811	98	3713	1085	883	761	527	244	34	74	21	51	2	31
392	41608	Goldwörth                     	728	580	22	558	147	204	59	73	53	1	4	5	6	0	6
393	41609	Gramastetten                  	3758	3002	102	2900	644	1103	343	441	230	26	54	12	20	1	26
394	41610	Haibach im Mühlkreis          	660	551	24	527	140	198	48	75	40	1	10	5	2	0	8
395	41611	Hellmonsödt                   	1721	1354	34	1320	375	376	168	221	114	16	16	12	10	0	12
396	41612	Herzogsdorf                   	1936	1489	50	1439	303	585	86	240	157	17	16	10	5	2	18
397	41613	Kirchschlag bei Linz          	1585	1242	50	1192	266	369	161	216	117	12	18	10	8	0	15
398	41614	Lichtenberg                   	2119	1735	54	1681	408	573	256	234	130	11	31	6	17	3	12
399	41615	Oberneukirchen                	2533	1997	87	1910	425	699	248	288	165	20	28	10	6	0	21
400	41616	Ottenschlag im Mühlkreis      	403	315	13	302	86	107	19	56	23	3	0	0	0	0	8
401	41617	Ottensheim                    	3579	2765	72	2693	706	717	542	352	228	36	53	18	13	1	27
402	41618	Puchenau                      	3781	2757	72	2685	798	685	491	359	195	19	70	28	13	2	25
403	41619	Reichenau im Mühlkreis        	953	782	18	764	190	262	94	123	42	2	14	2	16	0	19
404	41620	Reichenthal                   	1121	905	29	876	193	373	63	129	79	8	11	5	7	0	8
405	41621	St.Gotthard im Mühlkreis      	1048	867	31	836	225	262	98	153	61	8	5	5	4	0	15
406	41622	Schenkenfelden                	1259	1014	44	970	180	395	77	149	121	6	8	5	12	0	17
407	41623	Sonnberg im Mühlkreis         	639	535	30	505	100	187	48	86	60	3	1	8	3	0	9
408	41624	Steyregg                      	3856	2996	64	2932	1127	598	309	514	232	19	52	18	22	0	41
409	41625	Vorderweißenbach              	1623	1387	55	1332	239	584	88	226	131	7	10	5	32	0	10
410	41626	Walding                       	3159	2521	88	2433	860	673	284	308	178	21	55	12	16	2	24
411	41627	Zwettl an der Rodl            	1399	1120	25	1095	242	413	129	145	95	18	13	13	17	0	10
412	41699	Wahlkarten Urfahr-Umgebung               	0	4028	107	3921	954	1185	766	466	271	40	132	22	40	2	43
413	41700	Bezirk Vöcklabruck                   	100100	82492	2592	79900	21941	21402	7264	17941	7344	932	922	510	848	22	774
414	41701	Ampflwang im Hausruckwald     	2803	2222	73	2149	1022	261	96	468	214	18	18	18	19	2	13
415	41702	Attersee                      	1274	978	41	937	229	261	104	190	94	13	28	5	9	0	4
416	41703	Attnang-Puchheim              	6341	4617	116	4501	1789	678	404	1069	378	45	44	31	35	1	27
417	41704	Atzbach                       	924	768	33	735	98	309	51	185	53	4	6	7	17	0	5
418	41705	Aurach am Hongar              	1242	1010	31	979	319	218	55	239	84	7	16	8	8	1	24
419	41706	Berg im Attergau              	761	608	16	592	79	288	25	127	54	5	1	2	5	0	6
420	41707	Desselbrunn                   	1297	1056	23	1033	303	339	87	187	77	8	6	7	16	0	3
421	41708	Fornach                       	724	614	20	594	68	247	32	172	44	4	8	1	12	0	6
422	41709	Frankenburg am Hausruck       	3942	3225	147	3078	945	699	197	859	230	70	20	16	24	0	18
423	41710	Frankenmarkt                  	2697	1980	70	1910	479	538	107	472	216	25	14	20	26	0	13
424	41711	Gampern                       	2016	1580	72	1508	304	461	140	357	175	18	13	11	13	1	15
425	41712	Innerschwand                  	825	613	25	588	59	314	55	83	51	7	5	3	5	0	6
426	41713	Lenzing                       	4027	3095	85	3010	1374	295	187	811	246	34	19	14	12	1	17
427	41714	Manning                       	637	525	17	508	129	186	40	69	44	6	0	4	23	0	7
428	41715	Mondsee                       	2375	1591	27	1564	323	489	178	276	207	22	23	11	12	1	22
429	41716	Neukirchen an der Vöckla      	1985	1602	47	1555	316	470	142	383	161	17	13	6	38	0	9
430	41717	Niederthalheim                	813	649	19	630	99	239	55	167	44	2	9	3	4	0	8
431	41718	Nußdorf am Attersee           	869	617	23	594	80	229	44	160	55	7	10	2	3	0	4
432	41719	Oberhofen am Irrsee           	1104	883	27	856	172	334	67	157	71	10	12	1	7	0	25
433	41720	Oberndorf bei Schwanenstadt   	1123	872	27	845	245	227	72	195	83	5	4	3	3	0	8
434	41721	Oberwang                      	1238	968	52	916	95	495	32	194	71	7	3	4	5	1	9
435	41722	Ottnang am Hausruck           	3051	2368	100	2268	743	537	141	515	214	38	16	16	30	0	18
436	41723	Pfaffing                      	1077	876	30	846	225	213	56	225	91	7	7	1	12	1	8
437	41724	Pilsbach                      	499	425	13	412	104	159	36	67	32	1	2	0	3	0	8
438	41725	Pitzenberg                    	402	289	6	283	66	80	21	79	22	4	3	2	4	1	1
439	41726	Pöndorf                       	1823	1433	62	1371	356	440	64	329	131	6	8	5	7	2	23
440	41727	Puchkirchen am Trattberg      	753	603	19	584	120	198	62	124	40	5	10	4	11	0	10
441	41728	Pühret                        	472	393	15	378	80	137	32	93	21	3	4	1	4	0	3
442	41729	Redleiten                     	381	293	5	288	75	90	7	72	33	6	2	0	0	0	3
443	41730	Redlham                       	1115	882	35	847	255	246	74	182	55	9	6	6	5	0	9
444	41731	Regau                         	4683	3701	117	3584	1084	755	304	847	408	45	24	25	50	0	42
445	41732	Rüstorf                       	1573	1211	37	1174	388	254	96	299	90	7	12	5	13	0	10
446	41733	Rutzenham                     	202	175	7	168	16	63	35	34	4	3	1	5	5	0	2
447	41734	St.Georgen im Attergau        	2980	2233	65	2168	398	589	137	701	213	33	18	21	37	0	21
448	41735	St.Lorenz                     	1637	1215	33	1182	178	485	120	182	154	10	29	5	1	0	18
449	41736	Schlatt                       	1025	791	31	760	198	218	53	150	93	12	7	6	15	0	8
450	41737	Schörfling am Attersee        	2584	1927	48	1879	543	395	204	476	192	14	25	12	9	0	9
451	41738	Schwanenstadt                 	3045	2254	37	2217	680	487	237	505	207	21	25	13	21	0	21
452	41739	Seewalchen am Attersee        	4134	3035	88	2947	839	636	300	754	255	37	43	25	26	1	31
453	41740	Steinbach am Attersee         	682	521	16	505	120	193	37	79	56	8	8	0	0	0	4
454	41741	Straß im Attergau             	1114	826	33	793	127	277	40	233	82	14	3	4	6	1	6
455	41742	Tiefgraben                    	2667	1985	75	1910	324	711	169	377	237	17	25	5	8	2	35
456	41743	Timelkam                      	4552	3607	116	3491	1255	591	326	812	341	41	39	20	30	1	35
457	41744	Ungenach                      	1104	918	31	887	137	365	84	193	73	6	6	3	12	0	8
458	41745	Unterach am Attersee          	1119	770	17	753	209	236	75	115	71	8	11	11	4	0	13
459	41746	Vöcklabruck                   	9144	6508	164	6344	1909	1394	847	1267	559	65	121	46	84	2	50
460	41747	Vöcklamarkt                   	3621	2808	96	2712	674	831	210	644	230	39	21	15	27	0	21
461	41748	Weißenkirchen im Attergau     	754	595	29	566	84	234	30	130	50	7	4	1	22	0	4
462	41749	Weyregg am Attersee           	1256	896	24	872	212	285	83	170	82	17	6	3	7	0	7
463	41750	Wolfsegg am Hausruck          	1586	1191	40	1151	391	238	108	269	87	19	6	20	6	1	6
464	41751	Zell am Moos                  	1128	868	41	827	115	343	84	140	97	15	3	1	12	0	17
465	41752	Zell am Pettenfirst           	920	743	29	714	168	227	84	133	62	12	10	7	6	0	5
466	41799	Wahlkarten Vöcklabruck                   	0	6079	142	5937	1341	1918	938	925	410	69	145	45	75	2	69
467	41800	Bezirk Wels-Land                     	51175	42943	1054	41889	12380	10663	3561	9039	4401	373	476	202	313	15	466
468	41801	Aichkirchen                   	415	348	9	339	41	149	15	94	29	4	1	1	0	0	5
469	41802	Bachmanning                   	458	376	12	364	86	107	26	69	47	7	0	0	18	0	4
470	41803	Bad Wimsbach-Neydharting      	1896	1523	57	1466	408	509	86	279	139	10	11	8	8	0	8
471	41804	Buchkirchen                   	2995	2435	48	2387	830	528	208	480	229	22	23	15	29	0	23
472	41805	Eberstalzell                  	1769	1430	37	1393	187	583	96	337	145	5	6	8	17	0	9
473	41806	Edt bei Lambach               	1628	1265	22	1243	355	334	84	293	138	7	11	1	6	0	14
474	41807	Fischlham                     	1056	892	14	878	214	338	53	165	75	8	7	4	3	1	10
475	41808	Gunskirchen                   	4325	3423	71	3352	978	742	260	783	413	32	40	13	23	0	68
476	41809	Holzhausen                    	564	446	13	433	128	131	28	86	44	2	7	3	2	0	2
477	41810	Krenglbach                    	2351	1930	51	1879	630	422	173	375	210	8	29	9	10	1	12
478	41811	Lambach                       	2443	1751	34	1717	546	369	169	380	177	17	12	10	14	1	22
479	41812	Marchtrenk                    	8964	6948	183	6765	2803	958	509	1468	732	63	79	39	36	4	74
480	41813	Neukirchen bei Lambach        	701	596	25	571	111	220	31	137	45	5	6	6	0	0	10
481	41814	Offenhausen                   	1225	978	30	948	185	293	67	230	130	11	10	2	9	0	11
482	41815	Pennewang                     	707	553	15	538	83	220	56	94	58	8	4	0	7	0	8
483	41816	Pichl bei Wels                	2071	1691	57	1634	400	493	143	338	178	16	19	9	14	0	24
484	41817	Sattledt                      	1781	1429	28	1401	384	461	67	302	123	12	17	5	16	0	14
485	41818	Schleißheim                   	876	719	23	696	159	187	74	138	106	7	10	0	5	0	10
486	41819	Sipbachzell                   	1389	1119	20	1099	224	395	76	227	122	12	12	4	11	0	16
487	41820	Stadl-Paura                   	3705	2682	65	2617	993	339	200	721	264	24	18	20	13	2	23
488	41821	Steinerkirchen an der Traun   	1807	1465	52	1413	245	622	101	247	144	8	11	8	8	0	19
489	41822	Steinhaus                     	1500	1250	37	1213	246	342	73	416	104	7	11	3	4	0	7
490	41823	Thalheim bei Wels             	4189	3171	63	3108	864	774	418	569	331	26	57	14	22	5	28
491	41824	Weißkirchen an der Traun      	2360	1886	33	1853	643	415	171	372	183	19	17	11	13	0	9
492	41899	Wahlkarten Wels-Land                     	0	2637	55	2582	637	732	377	439	235	33	58	9	25	1	36
