	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	SPÖ	ÖVP	FPÖ	BZÖ	GRÜNE	FRANK	NEOS	PIRAT	KPÖ	CPÖ	WANDL
285	41299	Wahlkarten Ried im Innkreis              	0	3918	108	3810	711	1195	749	127	617	165	147	38	28	17	16
286	41300	Bezirk Rohrbach                      	46198	37217	1259	35958	7089	14863	6322	992	3481	1627	836	296	197	194	61
287	41301	Afiesl                        	329	251	5	246	58	92	44	6	18	14	7	1	4	2	0
288	41302	Ahorn                         	405	330	8	322	66	147	66	8	19	8	2	0	3	3	0
289	41303	Aigen im Mühlkreis            	1552	1045	26	1019	224	374	200	42	92	55	20	7	2	3	0
290	41304	Altenfelden                   	1760	1251	59	1192	268	399	271	41	90	63	39	8	5	4	4
291	41305	Arnreit                       	894	652	28	624	84	324	103	25	49	17	13	7	2	0	0
292	41306	Atzesberg                     	381	303	8	295	31	141	81	4	22	9	4	2	0	1	0
293	41307	Auberg                        	436	342	9	333	39	162	58	10	32	16	8	1	0	3	4
294	41308	Berg bei Rohrbach             	2117	1577	75	1502	274	640	249	52	150	66	35	20	6	10	0
295	41309	Haslach an der Mühl           	2116	1494	49	1445	469	404	217	47	163	73	34	25	8	3	2
296	41310	Helfenberg                    	797	627	15	612	120	263	82	23	47	42	17	7	7	4	0
297	41311	Hörbich                       	334	270	7	263	26	134	59	11	11	16	4	1	0	0	1
298	41312	Hofkirchen im Mühlkreis       	1227	817	30	787	161	316	149	24	92	20	21	2	1	0	1
299	41313	Julbach                       	1315	942	25	917	284	307	179	23	42	42	20	5	6	7	2
300	41314	Kirchberg ob der Donau        	865	656	14	642	154	251	136	7	40	23	23	3	3	2	0
301	41315	Klaffer am Hochficht          	1070	797	10	787	203	251	239	18	28	32	2	2	7	1	4
302	41316	Kleinzell im Mühlkreis        	1224	875	20	855	201	322	131	23	109	28	25	8	2	2	4
303	41317	Kollerschlag                  	1189	887	31	856	155	395	189	13	33	38	7	4	8	14	0
304	41318	Lembach im Mühlkreis          	1295	870	36	834	175	337	165	22	58	31	16	10	3	16	1
305	41319	Lichtenau im Mühlkreis        	442	318	14	304	60	141	63	9	14	9	4	1	1	2	0
306	41320	Nebelberg                     	507	402	22	380	71	190	51	13	32	9	7	2	2	0	3
307	41321	Neufelden                     	1002	670	11	659	124	271	92	9	103	23	22	5	3	6	1
308	41322	Niederkappel                  	811	628	35	593	96	293	106	15	24	26	24	1	5	1	2
309	41323	Niederwaldkirchen             	1422	1050	28	1022	175	478	150	34	113	47	17	6	0	2	0
310	41324	Oberkappel                    	532	342	9	333	49	186	56	5	12	15	2	3	2	3	0
311	41325	Oepping                       	1279	926	30	896	155	365	191	25	87	42	15	6	5	3	2
312	41326	Peilstein im Mühlviertel      	1288	983	53	930	180	422	174	22	65	40	13	4	2	5	3
313	41327	Pfarrkirchen im Mühlkreis     	1168	880	29	851	112	442	154	32	53	22	26	1	4	5	0
314	41328	Putzleinsdorf                 	1243	906	33	873	116	379	153	25	64	68	35	15	7	9	2
315	41329	Neustift im Mühlkreis         	1163	847	26	821	168	424	108	15	52	26	11	3	9	1	4
316	41330	Rohrbach in Oberösterreich    	1994	1400	67	1333	258	510	187	38	215	59	29	11	11	13	2
317	41331	St.Johann am Wimberg          	816	605	23	582	72	224	145	29	52	37	16	2	1	2	2
318	41332	St.Martin im Mühlkreis        	2908	2118	74	2044	413	749	355	53	230	135	75	14	6	11	3
319	41333	St.Oswald bei Haslach         	420	334	9	325	74	132	62	9	21	18	5	1	1	1	1
320	41334	St.Peter am Wimberg           	1436	1093	44	1049	178	513	139	32	98	48	25	10	3	1	2
321	41335	St.Stefan am Walde            	672	542	19	523	98	239	70	13	61	20	4	5	5	8	0
322	41336	St.Ulrich im Mühlkreis        	502	396	17	379	49	175	56	6	58	16	10	5	1	1	2
323	41337	St.Veit im Mühlkreis          	984	744	20	724	130	312	120	17	73	32	30	3	4	2	1
324	41338	Sarleinsbach                  	1876	1419	65	1354	214	657	227	24	129	42	24	13	9	15	0
325	41339	Schlägl                       	1067	733	6	727	170	266	137	22	64	35	13	12	3	5	0
326	41340	Schönegg                      	442	339	4	335	90	132	52	12	23	12	9	3	1	1	0
327	41341	Schwarzenberg am Böhmerwald   	501	356	10	346	71	144	91	10	14	12	4	0	0	0	0
328	41342	Ulrichsberg                   	2417	1738	72	1666	341	655	341	52	134	82	27	13	14	5	2
329	41399	Wahlkarten Rohrbach                      	0	3462	84	3378	633	1305	424	72	595	159	92	44	31	17	6
330	41400	Bezirk Schärding                     	44610	35233	876	34357	6765	11246	8704	1951	2752	1548	723	220	180	127	141
331	41401	Altschwendt                   	533	416	5	411	85	130	98	16	39	27	12	4	0	0	0
332	41402	Andorf                        	4056	3020	67	2953	781	769	850	113	208	122	62	17	12	11	8
333	41403	Brunnenthal                   	1546	1079	36	1043	209	304	288	38	96	52	18	9	15	2	12
334	41404	Diersbach                     	1289	925	17	908	157	300	229	65	69	49	21	7	7	1	3
335	41405	Dorf an der Pram              	857	626	16	610	108	263	132	20	42	27	15	0	2	0	1
336	41406	Eggerding                     	1028	752	17	735	103	283	190	38	53	36	22	4	3	3	0
337	41407	Engelhartszell                	816	512	13	499	88	184	103	25	46	25	14	7	4	1	2
338	41408	Enzenkirchen                  	1443	983	27	956	230	270	288	50	36	53	15	5	5	0	4
339	41409	Esternberg                    	2355	1653	54	1599	191	606	433	149	97	64	35	9	4	5	6
340	41410	Freinberg                     	1007	678	9	669	160	249	155	23	35	29	10	4	3	1	0
341	41411	Kopfing im Innkreis           	1604	1143	35	1108	146	386	324	55	64	70	23	9	10	21	0
342	41412	Mayrhof                       	227	187	7	180	15	100	41	4	8	2	2	2	0	1	5
343	41413	Münzkirchen                   	2087	1513	45	1468	289	503	375	94	94	45	26	3	15	7	17
344	41414	Raab                          	1819	1260	27	1233	199	356	414	49	104	61	29	8	8	1	4
345	41415	Rainbach im Innkreis          	1190	901	21	880	146	320	238	53	58	29	18	5	2	7	4
346	41416	Riedau                        	1565	1053	37	1016	277	241	282	33	82	57	31	8	2	2	1
347	41417	St.Aegidi                     	1287	999	31	968	120	426	257	41	53	44	7	5	4	4	7
348	41418	St.Florian am Inn             	2375	1656	21	1635	423	423	474	53	122	66	43	10	12	7	2
349	41419	St.Marienkirchen bei Schärding	1457	962	28	934	147	321	287	42	69	38	17	4	3	2	4
350	41420	St.Roman                      	1434	1097	16	1081	70	359	234	339	25	33	10	2	3	4	2
351	41421	St.Willibald                  	932	710	27	683	137	215	195	42	51	25	9	4	5	0	0
352	41422	Schärding                     	3792	2288	54	2234	648	482	562	84	260	95	68	14	11	5	5
353	41423	Schardenberg                  	1721	1260	22	1238	166	543	300	77	71	47	18	6	1	5	4
354	41424	Sigharting                    	640	512	14	498	47	210	129	50	28	15	12	3	2	1	1
355	41425	Suben                         	962	660	13	647	158	203	113	75	48	25	14	3	4	1	3
356	41426	Taufkirchen an der Pram       	2311	1602	60	1542	404	440	409	46	106	89	19	19	2	2	6
357	41427	Vichtenstein                  	482	335	12	323	45	122	92	24	9	15	5	0	10	0	1
358	41428	Waldkirchen am Wesen          	1030	780	26	754	167	307	160	13	45	38	12	5	2	4	1
359	41429	Wernstein am Inn              	1197	871	20	851	210	299	183	32	56	36	14	6	4	4	7
360	41430	Zell an der Pram              	1568	1064	31	1033	122	403	227	51	112	60	37	8	7	2	4
361	41499	Wahlkarten Schärding                     	0	3736	68	3668	717	1229	642	157	566	174	85	30	18	23	27
362	41500	Bezirk Steyr-Land                    	47537	38947	960	37987	10296	10312	7323	1774	4375	2034	1190	258	209	154	62
363	41501	Adlwang                       	1365	1012	27	985	123	379	236	64	94	44	23	10	3	9	0
364	41502	Aschach an der Steyr          	1794	1363	40	1323	269	395	241	55	204	68	62	12	10	3	4
365	41503	Bad Hall                      	3860	2514	67	2447	592	605	509	182	284	131	90	22	18	10	4
366	41504	Dietach                       	2333	1771	37	1734	477	454	310	48	274	91	50	13	8	6	3
367	41505	Gaflenz                       	1499	1105	41	1064	219	404	207	48	84	61	22	7	5	5	2
368	41506	Garsten                       	5250	3836	93	3743	977	946	729	138	545	199	146	23	26	8	6
369	41507	Großraming                    	2266	1764	41	1723	514	539	269	67	164	80	51	8	19	10	2
370	41508	Laussa                        	1022	801	31	770	176	216	154	67	61	53	29	4	5	4	1
371	41509	Losenstein                    	1330	933	15	918	293	231	186	39	80	43	36	4	6	0	0
372	41510	Maria Neustift                	1311	1045	38	1007	133	446	228	61	56	42	22	9	3	7	0
373	41511	Pfarrkirchen bei Bad Hall     	1759	1246	32	1214	326	317	276	55	131	60	34	9	3	1	2
374	41512	Reichraming                   	1472	1130	14	1116	533	145	213	49	73	60	28	7	5	2	1
375	41513	Rohr im Kremstal              	971	736	18	718	191	225	146	29	55	28	34	5	3	2	0
376	41514	St.Ulrich bei Steyr           	2476	1824	49	1775	401	547	348	77	220	102	57	11	3	5	4
377	41515	Schiedlberg                   	1000	753	6	747	81	440	87	27	43	39	18	5	4	3	0
378	41516	Sierning                      	7330	5321	134	5187	1839	948	1179	202	487	312	134	37	22	16	11
379	41517	Ternberg                      	2746	2036	64	1972	552	509	384	141	214	92	45	9	13	10	3
380	41518	Waldneukirchen                	1787	1363	42	1321	282	449	270	70	120	56	40	7	9	17	1
381	41521	Wolfern                       	2471	1828	32	1796	465	556	341	74	166	118	55	7	8	5	1
382	41522	Weyer  	3495	2432	38	2394	812	465	492	122	273	127	61	19	11	9	3
383	41599	Wahlkarten Steyr-Land                    	0	4134	101	4033	1041	1096	518	159	747	228	153	30	25	22	14
384	41600	Bezirk Urfahr-Umgebung               	66789	55639	1589	54050	12331	16425	8756	1831	8660	2630	2324	412	407	172	102
385	41601	Alberndorf in der Riedmark    	3146	2395	80	2315	461	745	518	64	286	121	70	14	15	12	9
386	41602	Altenberg bei Linz            	3557	2694	77	2617	460	1086	380	98	355	110	80	25	12	8	3
387	41603	Bad Leonfelden                	3269	2398	91	2307	371	889	461	69	268	136	59	17	18	16	3
388	41604	Eidenberg                     	1662	1259	53	1206	176	483	185	57	148	62	60	19	8	5	3
389	41605	Engerwitzdorf                 	6978	5149	173	4976	1315	1056	1002	200	823	255	226	33	38	24	4
390	41606	Feldkirchen an der Donau      	4317	3415	101	3314	947	833	564	209	407	180	126	21	19	4	4
391	41607	Gallneukirchen                	4980	3474	81	3393	996	711	494	94	739	136	158	23	25	14	3
392	41608	Goldwörth                     	761	569	28	541	109	183	80	24	71	36	27	2	8	0	1
393	41609	Gramastetten                  	3976	2815	71	2744	534	1000	414	79	398	135	132	18	20	8	6
394	41610	Haibach im Mühlkreis          	708	549	22	527	113	206	96	15	62	18	10	2	3	1	1
395	41611	Hellmonsödt                   	1789	1250	25	1225	254	365	246	30	207	60	31	10	15	7	0
396	41612	Herzogsdorf                   	2019	1464	68	1396	256	577	259	50	136	78	23	3	10	1	3
397	41613	Kirchschlag bei Linz          	1637	1199	26	1173	216	371	214	38	189	62	52	13	7	4	7
398	41614	Lichtenberg                   	2150	1668	40	1628	332	516	228	40	312	59	120	8	6	5	2
399	41615	Oberneukirchen                	2600	1883	73	1810	343	685	288	66	248	92	56	17	9	2	4
400	41616	Ottenschlag im Mühlkreis      	423	326	17	309	73	111	61	12	20	19	7	2	3	0	1
401	41617	Ottensheim                    	3594	2548	54	2494	533	617	355	86	580	107	151	24	31	5	5
402	41618	Puchenau                      	3746	2639	42	2597	606	627	359	75	557	134	181	24	22	7	5
403	41619	Reichenau im Mühlkreis        	1030	758	24	734	171	251	124	20	98	45	18	3	1	2	1
404	41620	Reichenthal                   	1180	901	29	872	197	344	133	30	88	35	23	9	5	2	6
405	41621	St.Gotthard im Mühlkreis      	1031	783	25	758	182	237	135	24	106	36	29	5	3	0	1
406	41622	Schenkenfelden                	1267	993	39	954	175	395	171	34	78	56	27	5	7	3	3
407	41623	Sonnberg im Mühlkreis         	730	546	17	529	116	196	98	8	57	28	16	2	6	1	1
408	41624	Steyregg                      	3928	2787	68	2719	908	540	499	101	370	120	126	19	25	6	5
409	41625	Vorderweißenbach              	1668	1273	32	1241	204	594	211	40	100	32	30	11	4	14	1
410	41626	Walding                       	3272	2429	61	2368	735	597	331	77	338	129	116	18	20	4	3
411	41627	Zwettl an der Rodl            	1371	1055	27	1028	179	392	155	28	154	60	43	5	7	3	2
412	41699	Wahlkarten Urfahr-Umgebung               	0	6420	145	6275	1369	1818	695	163	1465	289	327	60	60	14	15
413	41700	Bezirk Vöcklabruck                   	101803	80295	2246	78049	19881	20195	18032	2737	9170	3812	2587	697	466	353	119
414	41701	Ampflwang im Hausruckwald     	2756	2003	61	1942	826	283	475	71	127	80	40	16	9	13	2
415	41702	Attersee                      	1304	936	24	912	226	259	153	41	129	46	34	11	12	0	1
416	41703	Attnang-Puchheim              	6177	4169	99	4070	1531	526	1060	123	412	189	129	51	29	17	3
417	41704	Atzbach                       	926	716	21	695	79	292	163	31	67	34	16	3	2	8	0
418	41705	Aurach am Hongar              	1287	1007	31	976	261	227	283	22	81	64	21	6	6	4	1
419	41706	Berg im Attergau              	781	588	20	568	74	273	126	15	41	17	7	5	5	3	2
420	41707	Desselbrunn                   	1389	1037	29	1008	254	305	242	31	87	49	20	7	8	5	0
421	41708	Fornach                       	748	583	31	552	65	247	135	19	46	27	8	0	1	3	1
422	41709	Frankenburg am Hausruck       	3911	3054	101	2953	916	667	777	107	216	129	83	28	19	8	3
423	41710	Frankenmarkt                  	2767	1990	77	1913	446	513	471	89	178	112	64	21	11	5	3
424	41711	Gampern                       	2133	1653	52	1601	365	472	362	81	187	59	43	17	6	7	2
425	41712	Innerschwand                  	890	593	12	581	72	276	95	21	70	21	14	6	4	1	1
426	41713	Lenzing                       	4021	2846	67	2779	1161	247	779	98	197	172	61	26	23	11	4
427	41714	Manning                       	663	501	17	484	111	167	88	15	51	27	14	4	5	2	0
428	41715	Mondsee                       	2443	1350	23	1327	254	381	260	51	203	81	67	14	7	7	2
429	41716	Neukirchen an der Vöckla      	2067	1602	53	1549	297	496	376	59	173	61	43	12	5	24	3
430	41717	Niederthalheim                	817	645	19	626	97	219	193	10	57	30	13	5	1	0	1
431	41718	Nußdorf am Attersee           	895	614	20	594	88	210	146	28	43	52	14	5	2	6	0
432	41719	Oberhofen am Irrsee           	1161	860	34	826	151	300	165	35	96	35	31	8	4	1	0
433	41720	Oberndorf bei Schwanenstadt   	1137	810	28	782	224	165	188	35	94	37	31	4	2	1	1
434	41721	Oberwang                      	1261	962	28	934	79	474	256	24	34	41	10	6	3	5	2
435	41722	Ottnang am Hausruck           	3066	2179	86	2093	606	475	558	83	168	103	42	25	6	21	6
436	41723	Pfaffing                      	1148	847	29	818	230	210	195	32	83	42	14	4	0	6	2
437	41724	Pilsbach                      	508	411	10	401	102	150	56	11	37	11	24	4	0	5	1
438	41725	Pitzenberg                    	417	315	8	307	53	105	75	8	40	17	7	1	0	1	0
439	41726	Pöndorf                       	1846	1326	50	1276	308	384	359	40	71	71	15	15	9	2	2
440	41727	Puchkirchen am Trattberg      	781	562	16	546	106	192	112	18	50	29	22	7	6	3	1
441	41728	Pühret                        	492	358	14	344	72	124	84	8	26	22	2	3	1	2	0
442	41729	Redleiten                     	391	294	12	282	75	72	76	10	18	17	12	1	0	0	1
443	41730	Redlham                       	1174	840	21	819	244	213	175	26	90	35	20	7	1	8	0
444	41731	Regau                         	4909	3612	126	3486	921	660	933	153	435	194	113	30	26	18	3
445	41732	Rüstorf                       	1615	1157	29	1128	332	231	319	32	119	45	34	5	3	5	3
446	41733	Rutzenham                     	211	168	8	160	11	67	30	2	33	9	2	4	2	0	0
447	41734	St.Georgen im Attergau        	3075	2144	51	2093	360	527	654	105	212	96	72	20	22	23	2
448	41735	St.Lorenz                     	1794	1218	28	1190	162	459	244	37	145	59	73	5	3	3	0
449	41736	Schlatt                       	1045	721	26	695	150	214	169	26	65	35	23	4	4	2	3
450	41737	Schörfling am Attersee        	2623	1801	40	1761	471	312	440	75	251	87	82	17	23	2	1
451	41738	Schwanenstadt                 	2947	1978	45	1933	529	410	478	61	246	104	63	23	11	6	2
452	41739	Seewalchen am Attersee        	4228	2990	79	2911	742	537	768	101	399	164	126	28	21	16	9
453	41740	Steinbach am Attersee         	683	492	7	485	103	183	65	17	62	30	18	4	2	0	1
454	41741	Straß im Attergau             	1123	818	37	781	125	292	214	20	64	29	18	11	5	0	3
455	41742	Tiefgraben                    	2786	1785	51	1734	290	677	356	53	195	84	61	10	3	1	4
456	41743	Timelkam                      	4543	3307	98	3209	1027	582	771	134	370	161	97	27	25	10	5
457	41744	Ungenach                      	1165	889	26	863	121	331	175	32	107	50	29	13	3	2	0
458	41745	Unterach am Attersee          	1127	731	10	721	203	227	115	26	78	31	34	4	1	1	1
459	41746	Vöcklabruck                   	9173	5950	115	5835	1613	1204	1231	233	875	286	273	47	29	31	13
460	41747	Vöcklamarkt                   	3679	2689	82	2607	661	742	643	67	257	120	76	14	17	7	3
461	41748	Weißenkirchen im Attergau     	759	559	18	541	62	272	120	12	37	19	6	1	1	9	2
462	41749	Weyregg am Attersee           	1267	859	15	844	200	266	169	30	103	37	30	5	1	2	1
463	41750	Wolfsegg am Hausruck          	1571	1023	29	994	348	240	209	21	101	31	15	14	13	0	2
464	41751	Zell am Moos                  	1179	833	25	808	118	323	137	23	108	35	51	7	2	3	1
465	41752	Zell am Pettenfirst           	944	712	20	692	141	229	127	20	109	26	23	6	6	2	3
466	41799	Wahlkarten Vöcklabruck                   	0	8208	188	8020	1818	2286	1182	215	1627	370	347	76	56	31	12
467	41800	Bezirk Wels-Land                     	52848	42510	896	41614	10525	10022	10543	1547	4510	2290	1385	378	226	111	77
468	41801	Aichkirchen                   	430	331	8	323	38	139	86	16	21	10	10	1	0	2	0
469	41802	Bachmanning                   	506	361	3	358	93	111	89	7	26	12	9	2	2	6	1
470	41803	Bad Wimsbach-Neydharting      	1939	1454	37	1417	332	477	307	70	129	55	27	11	4	3	2
471	41804	Buchkirchen                   	3210	2313	49	2264	666	474	554	71	259	121	78	16	14	5	6
472	41805	Eberstalzell                  	1850	1336	28	1308	153	483	337	59	132	75	39	16	6	8	0
473	41806	Edt bei Lambach               	1625	1188	19	1169	306	282	314	53	93	74	30	6	9	0	2
474	41807	Fischlham                     	1083	819	20	799	163	275	171	21	76	57	25	8	1	2	0
475	41808	Gunskirchen                   	4493	3297	65	3232	853	707	906	132	300	161	111	21	19	6	16
476	41809	Holzhausen                    	632	472	15	457	132	118	97	22	43	21	18	5	0	0	1
477	41810	Krenglbach                    	2372	1805	38	1767	509	345	432	66	205	110	76	11	8	3	2
478	41811	Lambach                       	2441	1516	22	1494	414	334	377	51	165	74	44	23	7	4	1
479	41812	Marchtrenk                    	9378	6578	111	6467	2267	806	1814	252	580	410	201	74	38	14	11
480	41813	Neukirchen bei Lambach        	713	511	14	497	89	193	102	33	30	16	23	2	8	0	1
481	41814	Offenhausen                   	1269	938	27	911	153	284	272	23	86	50	28	5	8	2	0
482	41815	Pennewang                     	732	540	16	524	57	232	114	17	58	28	11	3	0	4	0
483	41816	Pichl bei Wels                	2173	1685	49	1636	364	455	418	70	181	72	53	8	6	5	4
484	41817	Sattledt                      	1844	1329	20	1309	300	400	329	58	79	74	34	23	5	7	0
485	41818	Schleißheim                   	951	717	23	694	141	174	170	26	100	46	22	9	2	3	1
486	41819	Sipbachzell                   	1474	1106	27	1079	190	355	279	28	99	74	39	8	3	1	3
487	41820	Stadl-Paura                   	3591	2192	63	2129	673	288	691	80	209	99	48	16	18	4	3
488	41821	Steinerkirchen an der Traun   	1864	1441	39	1402	188	579	304	51	139	76	44	12	6	1	2
489	41822	Steinhaus                     	1558	1177	29	1148	219	294	402	34	101	51	30	8	3	2	4
490	41823	Thalheim bei Wels             	4238	2913	50	2863	643	648	630	131	465	140	149	26	19	7	5
491	41824	Weißkirchen an der Traun      	2482	1839	25	1814	509	431	454	51	181	105	58	13	8	3	1
492	41899	Wahlkarten Wels-Land                     	0	4652	99	4553	1073	1138	894	125	753	279	178	51	32	19	11
