	GKZ	Gebietsname	Wahlberechtigte	Abgegebene	Ungültige	Gültige	ÖVP	SPÖ	FPÖ	NEOS	JETZT	GRÜNE	KPÖ	SLP	WANDL
312	41333	St.Oswald bei Haslach	391	268.0	4	264	133	53	49	7	2	18	1	0	1
313	41334	St.Peter am Wimberg	1455	1037.0	11	1026	575	151	107	75	6	104	6	0	2
314	41336	St.Ulrich im Mühlkreis	511	347.0	2	345	190	30	49	15	4	51	4	0	2
315	41337	St.Veit im Mühlkreis	983	713.0	10	703	367	69	130	59	7	67	2	0	2
316	41338	Sarleinsbach	1839	1329.0	23	1306	738	145	201	75	12	127	7	0	1
317	41341	Schwarzenberg am Böhmerwald	457	326.0	7	319	185	54	51	10	5	14	0	0	0
318	41342	Ulrichsberg	2349	1503.0	29	1474	718	205	301	86	12	129	16	1	6
319	41343	Aigen-Schlägl	2618	1565.0	25	1540	777	233	272	71	22	158	1	0	6
320	41344	Rohrbach-Berg	4159	2587.0	45	2542	1207	335	401	198	31	351	11	1	7
321	41345	Helfenberg	1263	890.0	11	879	368	157	162	91	11	78	10	0	2
322	41346	St.Stefan-Afiesl	909	646.0	14	632	333	76	107	45	5	62	2	0	2
323	41399	Wahlkarten Rohrbach	0	6125.0	75	6050	2486	963	832	558	81	1051	42	3	34
324	41400	Schärding	44551	34934.0	484	34450	15699	5122	7941	1867	306	3218	154	5	138
325	41401	Altschwendt	543	391.0	8	383	184	60	78	17	4	37	1	1	1
326	41402	Andorf	4103	2850.0	39	2811	1157	540	747	123	23	203	11	0	7
327	41403	Brunnenthal	1566	984.0	12	972	408	146	247	49	8	101	7	0	6
328	41404	Diersbach	1310	844.0	9	835	376	115	211	38	9	83	3	0	0
329	41405	Dorf an der Pram	854	575.0	7	568	325	63	96	37	6	36	5	0	0
330	41406	Eggerding	1053	658.0	11	647	357	51	146	42	3	42	5	0	1
331	41407	Engelhartszell	764	391.0	4	387	178	54	94	14	2	42	3	0	0
332	41408	Enzenkirchen	1442	971.0	17	954	416	142	301	37	4	46	4	0	4
333	41409	Esternberg	2347	1540.0	25	1515	791	147	361	68	19	106	9	1	13
334	41410	Freinberg	996	560.0	1	559	321	76	107	21	3	30	0	0	1
335	41411	Kopfing im Innkreis	1625	1104.0	24	1080	512	117	303	50	14	75	4	0	5
336	41412	Mayrhof	249	176.0	2	174	88	8	54	14	1	8	1	0	0
337	41413	Münzkirchen	2091	1386.0	13	1373	676	169	332	68	11	106	9	0	2
338	41414	Raab	1819	1138.0	13	1125	462	112	345	52	16	124	9	0	5
339	41415	Rainbach im Innkreis	1187	830.0	11	819	376	125	213	44	5	54	1	0	1
340	41416	Riedau	1586	918.0	13	905	325	215	200	50	8	95	10	0	2
341	41417	St.Aegidi	1290	918.0	12	906	484	93	230	27	3	63	3	0	3
342	41418	St.Florian am Inn	2333	1434.0	14	1420	545	283	351	74	11	145	8	0	3
343	41419	St.Marienkirchen bei Schärding	1454	903.0	18	885	445	96	233	38	8	57	2	0	6
344	41420	St.Roman	1427	984.0	11	973	563	52	252	51	6	44	2	0	3
345	41421	St.Willibald	931	668.0	14	654	306	93	178	27	5	42	2	0	1
346	41422	Schärding	3704	1972.0	19	1953	671	500	425	104	16	222	9	0	6
347	41423	Schardenberg	1707	1128.0	11	1117	632	103	230	59	9	81	1	1	1
348	41424	Sigharting	678	497.0	19	478	240	47	124	36	1	26	4	0	0
349	41425	Suben	951	563.0	8	555	251	100	111	33	6	52	0	0	2
350	41426	Taufkirchen an der Pram	2311	1515.0	18	1497	610	296	387	76	8	109	6	0	5
351	41427	Vichtenstein	446	299.0	3	296	183	22	67	9	2	12	1	0	0
352	41428	Waldkirchen am Wesen	1003	682.0	23	659	341	96	134	32	3	49	1	0	3
353	41429	Wernstein am Inn	1210	742.0	7	735	317	134	172	47	8	48	4	1	4
354	41430	Zell an der Pram	1571	1003.0	26	977	482	119	181	46	12	127	5	0	5
355	41499	Wahlkarten Schärding	0	6310.0	72	6238	2677	948	1031	484	72	953	24	1	48
356	41500	Steyr-Land	48132	39228.0	580	38648	14913	9266	6321	2485	503	4780	178	18	184
357	41501	Adlwang	1473	957.0	19	938	463	113	174	56	12	108	5	0	7
358	41502	Aschach an der Steyr	1899	1279.0	20	1259	460	257	201	101	27	189	8	1	15
359	41503	Bad Hall	4034	2253.0	26	2227	862	492	375	176	38	263	11	1	9
360	41504	Dietach	2484	1734.0	14	1720	645	424	267	92	22	263	5	0	2
361	41505	Gaflenz	1536	1062.0	17	1045	536	162	164	68	10	99	2	2	2
362	41506	Garsten	5172	3397.0	68	3329	1226	763	547	205	44	503	19	2	20
363	41507	Großraming	2166	1499.0	36	1463	588	398	221	88	12	137	7	2	10
364	41508	Laussa	1014	691.0	6	685	299	133	131	25	14	76	3	1	3
365	41509	Losenstein	1305	814.0	11	803	290	248	142	27	8	81	5	0	2
366	41510	Maria Neustift	1288	907.0	19	888	476	108	174	57	3	58	7	0	5
367	41511	Pfarrkirchen bei Bad Hall	1825	1281.0	15	1266	528	277	226	82	11	136	5	0	1
368	41512	Reichraming	1447	971.0	14	957	243	425	160	32	10	74	3	0	10
369	41513	Rohr im Kremstal	1073	672.0	5	667	270	137	113	50	9	84	2	0	2
370	41514	St.Ulrich bei Steyr	2530	1652.0	17	1635	720	320	271	103	21	190	5	2	3
371	41515	Schiedlberg	1015	662.0	8	654	389	86	84	31	8	51	5	0	0
372	41516	Sierning	7343	4866.0	89	4777	1437	1606	858	271	62	507	18	1	17
373	41517	Ternberg	2777	1788.0	27	1761	690	424	320	106	31	170	12	0	8
374	41518	Waldneukirchen	1768	1218.0	13	1205	566	202	206	77	17	128	5	0	4
375	41521	Wolfern	2605	1665.0	25	1640	731	337	298	77	15	169	4	2	7
376	41522	Weyer	3378	2208.0	31	2177	795	612	378	108	25	239	10	0	10
377	41599	Wahlkarten Steyr-Land	0	7652.0	100	7552	2699	1742	1011	653	104	1255	37	4	47
378	41600	Urfahr-Umgebung	68781	57457.0	873	56584	22082	10531	7596	4967	784	10047	273	19	285
379	41601	Alberndorf in der Riedmark	3291	2120.0	32	2088	911	338	388	142	32	260	9	0	8
380	41602	Altenberg bei Linz	3674	2540.0	34	2506	1197	332	330	247	27	358	7	0	8
381	41603	Bad Leonfelden	3332	2136.0	51	2085	997	277	343	168	15	262	12	1	10
382	41604	Eidenberg	1696	1208.0	28	1180	629	148	128	96	12	153	5	2	7
383	41605	Engerwitzdorf	7027	4717.0	85	4632	1706	951	693	378	70	799	10	4	21
384	41606	Feldkirchen an der Donau	4412	2982.0	49	2933	1089	674	538	171	28	409	13	0	11
385	41607	Gallneukirchen	5242	3259.0	46	3213	965	804	365	275	55	708	20	0	21
386	41608	Goldwörth	693	470.0	5	465	210	84	75	28	3	60	3	0	2
387	41609	Gramastetten	4143	2661.0	46	2615	1089	398	332	282	51	436	6	4	17
388	41610	Haibach im Mühlkreis	749	508.0	12	496	213	87	78	34	11	66	5	1	1
389	41611	Hellmonsödt	1890	1182.0	15	1167	471	196	181	103	15	184	10	0	7
390	41612	Herzogsdorf	2164	1389.0	28	1361	666	179	261	92	23	129	5	0	6
391	41613	Kirchschlag bei Linz	1721	1148.0	18	1130	452	175	172	98	22	201	5	0	5
392	41614	Lichtenberg	2178	1520.0	20	1500	606	260	175	160	20	267	9	0	3
393	41615	Oberneukirchen	2596	1721.0	39	1682	761	259	250	136	16	247	9	1	3
394	41616	Ottenschlag im Mühlkreis	433	305.0	7	298	151	48	61	18	2	15	2	0	1
395	41617	Ottensheim	3725	2370.0	13	2357	771	393	249	213	34	674	14	0	9
396	41618	Puchenau	3648	2273.0	20	2253	715	465	244	251	43	511	13	0	11
397	41619	Reichenau im Mühlkreis	1031	692.0	15	677	308	127	98	52	12	74	2	0	4
398	41620	Reichenthal	1201	822.0	16	806	435	136	93	50	6	74	4	0	8
399	41621	St.Gotthard im Mühlkreis	1054	731.0	16	715	292	165	102	39	7	107	3	0	0
400	41622	Schenkenfelden	1303	882.0	13	869	487	94	110	73	10	86	5	0	4
401	41623	Sonnberg im Mühlkreis	794	529.0	12	517	213	93	82	44	5	75	2	0	3
402	41624	Steyregg	3881	2536.0	32	2504	830	715	376	202	37	329	4	1	10
403	41626	Walding	3378	2168.0	37	2131	840	505	233	158	30	338	13	0	14
404	41627	Zwettl an der Rodl	1364	933.0	22	911	377	159	102	59	6	194	8	1	5
405	41628	Vorderweißenbach	2161	1517.0	38	1479	788	219	237	80	15	132	4	0	4
406	41699	Wahlkarten Urfahr-Umgebung	0	12138.0	124	12014	3913	2250	1300	1318	177	2899	71	4	82
407	41700	Vöcklabruck	102974	80479.0	1362	79117	30368	15948	14207	5696	1269	10786	421	23	399
408	41701	Ampflwang im Hausruckwald	2560	1656.0	26	1630	442	635	311	52	39	137	8	1	5
409	41702	Attersee	1277	754.0	6	748	322	115	112	57	5	132	2	0	3
410	41703	Attnang-Puchheim	5672	3128.0	36	3092	780	1097	620	157	48	351	29	2	8
411	41704	Atzbach	966	661.0	15	646	326	54	128	55	7	71	2	0	3
412	41705	Aurach am Hongar	1373	933.0	21	912	330	203	218	57	21	72	4	0	7
413	41706	Berg im Attergau	827	574.0	8	566	347	41	94	23	4	50	2	0	5
414	41707	Desselbrunn	1412	920.0	11	909	354	217	173	58	10	90	6	0	1
415	41708	Fornach	758	557.0	23	534	312	45	93	32	4	43	3	0	2
416	41709	Frankenburg am Hausruck	3933	2715.0	65	2650	959	660	616	138	42	214	10	0	11
417	41710	Frankenmarkt	2681	1736.0	47	1689	733	336	323	93	36	144	15	0	9
418	41711	Gampern	2338	1666.0	50	1616	719	226	260	121	38	237	4	1	10
419	41712	Innerschwand	915	540.0	8	532	320	37	58	36	10	65	4	0	2
420	41713	Lenzing	3925	2415.0	42	2373	526	820	589	147	43	224	13	3	8
421	41714	Manning	654	429.0	8	421	193	75	62	14	6	67	3	0	1
422	41715	Mondsee	2600	1361.0	13	1348	585	152	207	140	19	234	5	0	6
423	41716	Neukirchen an der Vöckla	2111	1485.0	35	1450	622	251	288	82	24	167	8	0	8
424	41717	Niederthalheim	841	583.0	19	564	256	63	106	52	7	76	0	0	4
425	41718	Nußdorf am Attersee	894	503.0	5	498	251	50	93	52	5	44	1	0	2
426	41719	Oberhofen am Irrsee	1248	813.0	12	801	424	116	120	51	9	73	5	0	3
427	41720	Oberndorf bei Schwanenstadt	1097	750.0	18	732	249	158	186	54	8	72	3	0	2
428	41721	Oberwang	1377	855.0	17	838	531	44	182	30	8	37	4	0	2
429	41722	Ottnang am Hausruck	3037	1925.0	50	1875	635	434	456	111	27	191	10	0	11
430	41723	Pfaffing	1185	799.0	23	776	333	154	143	44	10	87	1	0	4
431	41724	Pilsbach	521	361.0	3	358	158	92	44	19	4	40	0	0	1
432	41725	Pitzenberg	448	295.0	6	289	130	43	56	11	2	45	1	1	0
433	41726	Pöndorf	1878	1175.0	22	1153	589	194	251	31	17	64	4	0	3
434	41727	Puchkirchen am Trattberg	814	517.0	16	501	225	81	75	38	9	67	4	0	2
435	41728	Pühret	496	341.0	14	327	128	59	72	22	5	39	0	0	2
436	41729	Redleiten	401	265.0	10	255	94	46	82	10	1	21	0	0	1
437	41730	Redlham	1293	859.0	21	838	278	189	172	65	12	112	7	0	3
438	41731	Regau	5020	3391.0	53	3338	1161	702	723	195	63	462	16	2	14
439	41732	Rüstorf	1678	1034.0	22	1012	325	248	229	72	8	119	8	0	3
440	41733	Rutzenham	222	168.0	1	167	82	13	26	10	5	27	3	1	0
441	41734	St.Georgen im Attergau	3173	1919.0	27	1892	816	249	437	130	27	218	10	0	5
442	41735	St.Lorenz	1890	1122.0	22	1100	597	86	163	94	17	130	5	0	8
443	41736	Schlatt	1093	651.0	16	635	272	122	111	38	10	79	1	0	2
444	41737	Schörfling am Attersee	2695	1561.0	18	1543	487	366	275	120	22	254	5	1	13
445	41738	Schwanenstadt	2967	1824.0	30	1794	547	450	399	108	25	245	9	1	10
446	41739	Seewalchen am Attersee	4514	2817.0	62	2755	905	591	484	240	69	436	18	1	11
447	41740	Steinbach am Attersee	679	422.0	8	414	216	71	42	26	2	56	1	0	0
448	41741	Straß im Attergau	1164	693.0	12	681	336	75	158	45	5	56	1	0	5
449	41742	Tiefgraben	2967	1641.0	23	1618	865	142	236	158	10	195	3	0	9
450	41743	Timelkam	4414	2776.0	52	2724	909	712	454	181	50	394	10	1	13
451	41744	Ungenach	1178	854.0	16	838	386	104	151	46	13	132	0	0	6
452	41745	Unterach am Attersee	1179	615.0	4	611	292	113	82	42	7	73	1	0	1
453	41746	Vöcklabruck	8994	5229.0	66	5163	1621	1248	859	387	99	881	41	1	26
454	41747	Vöcklamarkt	3812	2434.0	51	2383	996	387	478	160	37	301	9	2	13
455	41748	Weißenkirchen im Attergau	771	503.0	4	499	274	49	113	19	4	36	3	0	1
456	41749	Weyregg am Attersee	1275	758.0	11	747	313	122	106	85	10	109	1	0	1
457	41750	Wolfsegg am Hausruck	1518	929.0	16	913	344	238	142	44	14	116	12	1	2
458	41751	Zell am Moos	1229	718.0	5	713	373	65	140	59	7	64	3	0	2
459	41752	Zell am Pettenfirst	1010	680.0	10	670	283	101	104	56	10	106	7	0	3
460	41799	Wahlkarten Vöcklabruck	0	16169.0	183	15986	5817	3007	2105	1529	275	3031	96	4	122
461	41800	Wels-Land	54787	43501.0	616	42885	15556	8704	9025	3502	610	5104	180	12	192
462	41801	Aichkirchen	452	311.0	3	308	164	20	65	25	6	25	0	0	3
463	41802	Bachmanning	511	331.0	7	324	130	68	67	12	4	41	2	0	0
464	41803	Bad Wimsbach-Neydharting	2017	1326.0	22	1304	583	252	228	85	11	130	6	1	8
465	41804	Buchkirchen	3299	2114.0	33	2081	698	508	424	156	41	235	9	1	9
466	41805	Eberstalzell	2054	1371.0	21	1350	638	127	336	93	12	122	12	0	10
467	41806	Edt bei Lambach	1750	1129.0	20	1109	438	226	242	71	18	105	7	1	1
468	41807	Fischlham	1091	723.0	16	707	312	120	140	60	7	63	3	1	1
469	41808	Gunskirchen	4639	3022.0	43	2979	1120	648	637	224	41	287	9	0	13
470	41809	Holzhausen	758	490.0	2	488	179	94	101	48	8	57	0	0	1
471	41810	Krenglbach	2470	1626.0	26	1600	567	353	318	148	11	193	8	1	1
472	41811	Lambach	2371	1306.0	11	1295	437	314	281	86	21	144	5	0	7
473	41812	Marchtrenk	9807	6249.0	119	6130	1657	1798	1445	435	109	624	31	3	28
474	41813	Neukirchen bei Lambach	729	464.0	9	455	204	69	97	37	5	38	5	0	0
475	41814	Offenhausen	1274	866.0	12	854	358	105	217	62	6	100	5	0	1
476	41815	Pennewang	722	486.0	5	481	253	34	100	33	4	53	2	0	2
477	41816	Pichl bei Wels	2209	1516.0	23	1493	548	283	330	107	20	195	2	0	8
478	41817	Sattledt	1972	1277.0	17	1260	477	235	318	122	23	77	4	0	4
479	41818	Schleißheim	1053	717.0	15	702	273	120	132	82	11	80	1	0	3
480	41819	Sipbachzell	1575	1091.0	13	1078	490	152	226	83	11	107	5	0	4
481	41820	Stadl-Paura	3593	2053.0	34	2019	571	503	548	103	30	237	16	0	11
482	41821	Steinerkirchen an der Traun	1855	1276.0	17	1259	641	111	243	100	9	147	4	1	3
483	41822	Steinhaus	1716	1073.0	10	1063	422	158	298	84	10	88	1	0	2
484	41823	Thalheim bei Wels	4218	2630.0	20	2610	919	464	477	264	50	414	14	1	7
485	41824	Weißkirchen an der Traun	2652	1789.0	22	1767	681	359	344	152	30	188	9	0	4
486	41899	Wahlkarten Wels-Land	0	8265.0	96	8169	2796	1583	1411	830	112	1354	20	2	61
